,Strategy Return,SPY Buy&Hold_x,SPY Buy&Hold_y
2020-02-21,-0.011939560104819039,-0.010351475089093398,-0.010351475089093398
2020-02-24,-0.03518270190439838,-0.033727951274044266,-0.033727951274044266
2020-02-25,-0.03331304576490125,-0.030770789278880883,-0.030770789278880883
2020-02-26,-0.006217371272169021,-0.0036848947850751657,-0.0036848947850751657
2020-02-27,-0.0403067469501715,-0.045951586328253136,-0.045951586328253136
2020-02-28,-0.0035382258368716448,-0.004210156885578797,-0.004210156885578797
2020-03-02,0.037393521408286404,0.042394796040358784,0.042394796040358784
2020-03-03,-0.030200083613109285,-0.029050245908512906,-0.029050245908512906
2020-03-04,0.03608917431319318,0.04117368148372336,0.04117368148372336
2020-03-05,-0.043014690805365303,-0.03380666476059524,-0.03380666476059524
2020-03-06,-0.018142926790263917,-0.016669323396380165,-0.016669323396380165
